end,Revenues,NetIncomeLoss,Assets
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-09-29,,8223000000,176064000000.0
2012-12-29,,13078000000,196088000000.0
2012-12-29,,13078000000,196088000000.0
2012-12-29,,13078000000,196088000000.0
2012-12-29,,13078000000,196088000000.0
2012-12-29,,13078000000,196088000000.0
2013-03-30,,22625000000,194743000000.0
2013-03-30,,22625000000,194743000000.0
2013-03-30,,9547000000,194743000000.0
2013-03-30,,9547000000,194743000000.0
2013-03-30,,9547000000,194743000000.0
2013-03-30,,9547000000,194743000000.0
2013-03-30,,9547000000,194743000000.0
2013-06-29,,29525000000,199856000000.0
2013-06-29,,29525000000,199856000000.0
2013-06-29,,6900000000,199856000000.0
2013-06-29,,6900000000,199856000000.0
2013-06-29,,6900000000,199856000000.0
2013-06-29,,6900000000,199856000000.0
2013-06-29,,6900000000,199856000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,37037000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-09-28,,7512000000,207000000000.0
2013-12-28,,13072000000,225184000000.0
2013-12-28,,13072000000,225184000000.0
2013-12-28,,13072000000,225184000000.0
2013-12-28,,13072000000,225184000000.0
2013-12-28,,13072000000,225184000000.0
2014-03-29,,23295000000,205989000000.0
2014-03-29,,23295000000,205989000000.0
2014-03-29,,10223000000,205989000000.0
2014-03-29,,10223000000,205989000000.0
2014-03-29,,10223000000,205989000000.0
2014-03-29,,10223000000,205989000000.0
2014-03-29,,10223000000,205989000000.0
2014-06-28,,31043000000,222520000000.0
2014-06-28,,31043000000,222520000000.0
2014-06-28,,7748000000,222520000000.0
2014-06-28,,7748000000,222520000000.0
2014-06-28,,7748000000,222520000000.0
2014-06-28,,7748000000,222520000000.0
2014-06-28,,7748000000,222520000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,39510000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
