end,val,tag
2022-12-31,29998000000,NetIncomeLoss
2023-04-01,54158000000,NetIncomeLoss
2023-04-01,54158000000,NetIncomeLoss
2023-04-01,24160000000,NetIncomeLoss
2023-04-01,24160000000,NetIncomeLoss
2023-07-01,74039000000,NetIncomeLoss
2023-07-01,74039000000,NetIncomeLoss
2023-07-01,19881000000,NetIncomeLoss
2023-07-01,19881000000,NetIncomeLoss
2023-09-30,96995000000,NetIncomeLoss
2023-09-30,96995000000,NetIncomeLoss
2023-12-30,33916000000,NetIncomeLoss
2023-12-30,33916000000,NetIncomeLoss
2024-03-30,57552000000,NetIncomeLoss
2024-03-30,57552000000,NetIncomeLoss
2024-03-30,23636000000,NetIncomeLoss
2024-03-30,23636000000,NetIncomeLoss
2024-06-29,79000000000,NetIncomeLoss
2024-06-29,79000000000,NetIncomeLoss
2024-06-29,21448000000,NetIncomeLoss
2024-06-29,21448000000,NetIncomeLoss
2024-09-28,93736000000,NetIncomeLoss
2024-12-28,36330000000,NetIncomeLoss
2025-03-29,61110000000,NetIncomeLoss
2025-03-29,24780000000,NetIncomeLoss
2025-06-28,84544000000,NetIncomeLoss
2025-06-28,23434000000,NetIncomeLoss
2016-09-24,215639000000,Revenues
2016-12-31,78351000000,Revenues
2017-04-01,52896000000,Revenues
2017-07-01,45408000000,Revenues
2017-09-30,229234000000,Revenues
2017-09-30,52579000000,Revenues
2017-12-30,88293000000,Revenues
2018-03-31,61137000000,Revenues
2018-06-30,53265000000,Revenues
2018-09-29,265595000000,Revenues
2018-09-29,62900000000,Revenues
